match_id,id,title,authors,venue,year,source
76,765691,Algebraic query optimisation for database programming languages,"Alexandra Poulovassilis, Carol Small",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1996,ACM
77,journals/tods/AikenHW95,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",ACM Trans. Database Syst.,1995,DBLP
77,202107,Static analysis techniques for predicting the behavior of active database rules,"Alexander Aiken, Joseph M. Hellerstein, Jennifer Widom",ACM Transactions on Database Systems (TODS) ,1995,ACM
78,191967,The ORES temporal database management system,"Babis Theodoulidis, Aziz Ait-Braham, George Andrianopoulos, Jayant Chaudhary, George Karvelis, Simon Sou",International Conference on Management of Data,1994,ACM
78,conf/sigmod/TheodoulidisAACKS94,The ORES Temporal Database Management System,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",SIGMOD Conference,1994,DBLP
79,227624,Magic conditions,"Inderpal Singh Mumick, Sheldon J. Finkelstein, Hamid Pirahesh, Raghu Ramakrishnan",ACM Transactions on Database Systems (TODS) ,1996,ACM
79,journals/tods/MumickFPR96,Magic Conditions,"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein",ACM Trans. Database Syst.,1996,DBLP
80,conf/vldb/MoserKK95,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,"Wolfgang Klas, Frank Moser, Achim Kraiss",VLDB,1995,DBLP
80,673149,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,"Frank Moser, Achim Kraiss, Wolfgang Klas",Very Large Data Bases,1995,ACM
81,conf/sigmod/Spiro98,"Ubiquitous, Self-tuning, Scalable Servers",Peter M. Spiro,SIGMOD Conference,1998,DBLP
81,276359,"Ubiquitous, self-tuning, scalable servers",Peter Spiro,International Conference on Management of Data,1998,ACM
82,conf/vldb/Sarawagi99,Explaining Differences in Multidimensional Aggregates,Sunita Sarawagi,VLDB,1999,DBLP
82,671500,Explaining Differences in Multidimensional Aggregates,Sunita Sarawagi,Very Large Data Bases,1999,ACM
83,conf/vldb/WuYCT95,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",VLDB,1995,DBLP
83,673158,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,"Kun-Lung Wu, Philip S. Yu, Jen-Yao Chung, James Z. Teng",Very Large Data Bases,1995,ACM
84,conf/sigmod/Vaskevitch94,Database in Crisis and Transition: A Technical Agenda for the Year 2001,David Vaskevitch,SIGMOD Conference,1994,DBLP
84,191942,Database in crisis and transition: a technical agenda for the year 2001,David Vaskevitch,International Conference on Management of Data,1994,ACM
85,conf/sigmod/Sheth95,"Workflow Automation: Applications, Technology, and Research (Tutorial)",Amit P. Sheth,SIGMOD Conference,1995,DBLP
86,362091,Workshop on performance and architecture of web servers,"Krishna Kant, Prasant Mohapatra",ACM SIGMOD Record ,2000,ACM
86,journals/sigmod/KantM00,"Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)","Krishna Kant, Prasant Mohapatra",SIGMOD Record,2000,DBLP
87,671692,A Scalable Algorithm for Answering Queries Using Views,"Rachel Pottinger, Alon Y. Levy",Very Large Data Bases,2000,ACM
87,conf/vldb/PottingerL00,A Scalable Algorithm for Answering Queries Using Views,"Rachel Pottinger, Alon Y. Levy",VLDB,2000,DBLP
88,journals/sigmod/Snodgrass02,Why I Like Working in Academia,Richard T. Snodgrass,SIGMOD Record,2002,DBLP
88,507369,Why I like working in academia,Richard Thomas Snodgrass,ACM SIGMOD Record ,2002,ACM
89,375689,Efficient and tumble similar set retrieval,"Aristides Gionis, Dimitrios Gunopulos, Nick Koudas",International Conference on Management of Data,2001,ACM
89,conf/sigmod/GionisGK01,Efficient and Tunable Similar Set Retrieval,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",SIGMOD Conference,2001,DBLP
90,conf/vldb/ChakrabartiRS02,Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy",VLDB,2002,DBLP
90,journals/vldb/ChakrabartiRS03,Fast and accurate text classification via multiple linear discriminant projections pp,"Shourya Roy, Mahesh V. Soundalgekar, Soumen Chakrabarti",VLDB J.,2003,DBLP
90,950488,Fast and accurate text classification via multiple linear discriminant projections,"Soumen Chakrabarti, Shourya Roy, Mahesh V. Soundalgekar",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2003,ACM
91,672211,"Business Process Coordination: State of the Art, Trends, and Open Issues","Umeshwar Dayal, Meichun Hsu, Rivka Ladin",Very Large Data Bases,2001,ACM
91,conf/vldb/DayalHL01,"Business Process Coordination: State of the Art, Trends, and Open Issues","Meichun Hsu, Rivka Ladin, Umeshwar Dayal",VLDB,2001,DBLP
92,671871,Work and Information Practices in the Sciences of Biodiversity,Geoffrey C. Bowker,Very Large Data Bases,2000,ACM
92,conf/vldb/Bowker00,Work and Information Practices in the Sciences of Biodiversity,Geoffrey C. Bowker,VLDB,2000,DBLP
93,191856,Data modeling of time-based media,"Simon Gibbs, Christian Breiteneder, Dennis Tsichritzis",International Conference on Management of Data,1994,ACM
93,conf/sigmod/GibbsBT94,Data Modeling of Time-Based Media,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",SIGMOD Conference,1994,DBLP
94,journals/tods/SrivastavaSRN95,Space Optimization in Deductive Databases,"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton",ACM Trans. Database Syst.,1995,DBLP
94,219056,Space optimization in deductive databases,"Divesh Srivastava, S. Sudarshan, Raghu Ramakrishnan, Jeffrey F. Naughton",ACM Transactions on Database Systems (TODS) ,1995,ACM
95,journals/sigmod/Snodgrass00a,Chair's Message,Richard T. Snodgrass,SIGMOD Record,2000,DBLP
95,journals/sigmod/Ozsu01,Chair's Message,M. Tamer ÷zsu,SIGMOD Record,2001,DBLP
95,journals/sigmod/Snodgrass97,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1997,DBLP
95,journals/sigmod/Ozsu03a,Chair's Message,M. Tamer ÷zsu,SIGMOD Record,2003,DBLP
95,journals/sigmod/Snodgrass01,Chair's Message,Richard T. Snodgrass,SIGMOD Record,2001,DBLP
95,journals/sigmod/Snodgrass98c,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1998,DBLP
95,journals/sigmod/Ozsu03,Chair's Message,M. Tamer ÷zsu,SIGMOD Record,2003,DBLP
95,journals/sigmod/Ozsu02b,Chair's Message,M. Tamer ÷zsu,SIGMOD Record,2002,DBLP
95,journals/sigmod/Ozsu02,Chair's Message,M. Tamer ÷zsu,SIGMOD Record,2002,DBLP
95,journals/sigmod/Ozsu01a,Chair's Message,M. Tamer ÷zsu,SIGMOD Record,2001,DBLP
95,journals/sigmod/Snodgrass00b,Chair's Message,Richard T. Snodgrass,SIGMOD Record,2000,DBLP
95,journals/sigmod/Snodgrass99a,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1999,DBLP
95,journals/sigmod/Snodgrass99,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1999,DBLP
95,journals/sigmod/Snodgrass00,Chair's Message,Richard T. Snodgrass,SIGMOD Record,2000,DBLP
95,journals/sigmod/Snodgrass98b,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1998,DBLP
95,journals/sigmod/Snodgrass97a,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1997,DBLP
95,journals/sigmod/Snodgrass98,Chair's Message,Richard T. Snodgrass,SIGMOD Record,1998,DBLP
95,journals/sigmod/Ozsu02a,Chair's Message,M. Tamer ÷zsu,SIGMOD Record,2002,DBLP
96,journals/sigmod/Alonso94b,Trade Press News - Announcement and Preface,Rafael Alonso,SIGMOD Record,1994,DBLP
97,conf/sigmod/ChenGM01,Improving Index Performance through Prefetching,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",SIGMOD Conference,2001,DBLP
97,375688,Improving index performance through prefetching,"Shimin Chen, Phillip B. Gibbons, Todd C. Mowry",International Conference on Management of Data,2001,ACM
98,245909,New programs at DARPA and NSF,Xiolai Qian,ACM SIGMOD Record ,1996,ACM
98,journals/sigmod/Qian96b,New Programs at DARPA and NSF,Xiaolei Qian,SIGMOD Record,1996,DBLP
100,756643,"Physical Data Independence, Constraints, and Optimization with Universal Plans","Alin Deutsch, Lucian Popa, Val Tannen",Very Large Data Bases,1999,ACM
100,conf/vldb/DeutschPT99,"Physical Data Independence, Constraints, and Optimization with Universal Plans","Lucian Popa, Alin Deutsch, Val Tannen",VLDB,1999,DBLP
